,symbol,open,high,low,close,volume
2019-09-30 07:00:00,BTC/USDT,7986.86,8014.21,7984.26,7998.49,269.91595799999993
2019-09-30 08:00:00,BTC/USDT,7997.94,8152.8,7997.91,8114.76,4459.172673
2019-09-30 09:00:00,BTC/USDT,8114.99,8257.0,8090.42,8201.57,3209.899291
2019-09-30 10:00:00,BTC/USDT,8201.54,8300.0,8200.26,8283.85,5111.200055000001
2019-09-30 11:00:00,BTC/USDT,8284.01,8337.26,8232.05,8260.01,2893.741581999999
2019-09-30 12:00:00,BTC/USDT,8260.01,8268.58,8188.0,8230.78,1630.0610000000006
2019-09-30 13:00:00,BTC/USDT,8230.8,8295.82,8230.78,8258.96,1638.934786
2019-09-30 14:00:00,BTC/USDT,8259.74,8274.0,8232.35,8269.53,722.4914249999999
2019-09-30 15:00:00,BTC/USDT,8269.34,8275.0,8163.36,8214.67,2141.97134
2019-09-30 16:00:00,BTC/USDT,8213.46,8270.0,8171.0,8233.45,1037.885174
2019-09-30 17:00:00,BTC/USDT,8233.49,8273.55,8201.0,8218.58,833.4520739999998
2019-09-30 18:00:00,BTC/USDT,8219.33,8295.0,8217.93,8289.34,954.147243
2019-09-30 19:00:00,BTC/USDT,8289.97,8310.08,8188.0,8199.66,1870.174803
2019-09-30 20:00:00,BTC/USDT,8199.21,8295.0,8173.05,8269.83,1385.0214200000005
2019-09-30 21:00:00,BTC/USDT,8269.83,8438.05,8265.14,8412.87,3944.9167199999993
2019-09-30 22:00:00,BTC/USDT,8412.16,8500.0,8396.08,8396.93,3302.2486609999996
2019-09-30 23:00:00,BTC/USDT,8397.21,8470.5,8386.0,8423.57,1573.7512649999999
2019-10-01 00:00:00,BTC/USDT,8423.57,8440.0,8400.0,8419.86,1129.5244280000004
2019-10-01 01:00:00,BTC/USDT,8419.6,8420.0,8340.74,8386.33,1667.0458529999999
2019-10-01 02:00:00,BTC/USDT,8386.35,8418.92,8346.38,8407.12,1096.163825
2019-10-01 03:00:00,BTC/USDT,8405.87,8412.72,8345.0,8376.28,1394.4315139999999
2019-10-01 04:00:00,BTC/USDT,8377.68,8378.41,8290.0,8317.13,2072.006948
2019-10-01 05:00:00,BTC/USDT,8318.08,8359.79,8296.34,8305.97,1297.046383
2019-10-01 06:00:00,BTC/USDT,8305.97,8353.99,8282.06,8353.42,1055.27184
2019-10-01 07:00:00,BTC/USDT,8353.35,8428.02,8295.0,8314.32,2608.4425420000007
2019-10-01 08:00:00,BTC/USDT,8314.92,8380.0,8270.22,8343.56,2140.165282
2019-10-01 09:00:00,BTC/USDT,8343.56,8360.99,8311.85,8335.12,1309.185479
2019-10-01 10:00:00,BTC/USDT,8334.55,8371.0,8305.0,8365.5,1244.935582
2019-10-01 11:00:00,BTC/USDT,8365.87,8465.0,8321.99,8429.27,2240.998105999999
2019-10-01 12:00:00,BTC/USDT,8428.79,8497.0,8235.0,8277.22,4804.085195
2019-10-01 13:00:00,BTC/USDT,8277.48,8333.2,8241.38,8289.0,2106.607896
2019-10-01 14:00:00,BTC/USDT,8289.0,8302.63,8225.38,8302.6,1242.5173929999996
2019-10-01 15:00:00,BTC/USDT,8302.6,8399.0,8275.0,8347.0,1352.462781
2019-10-01 16:00:00,BTC/USDT,8347.0,8393.97,8283.0,8299.92,975.1930500000001
2019-10-01 17:00:00,BTC/USDT,8299.9,8346.04,8270.01,8326.38,781.8178770000001
2019-10-01 18:00:00,BTC/USDT,8326.87,8365.0,8265.08,8292.44,878.4032480000002
2019-10-01 19:00:00,BTC/USDT,8292.67,8329.0,8265.0,8285.16,650.2838970000003
2019-10-01 20:00:00,BTC/USDT,8285.07,8330.0,8274.77,8279.35,671.438574
2019-10-01 21:00:00,BTC/USDT,8279.26,8303.32,8245.0,8247.85,860.3296960000001
2019-10-01 22:00:00,BTC/USDT,8247.87,8260.0,8205.0,8244.94,1331.118102
2019-10-01 23:00:00,BTC/USDT,8244.48,8258.9,8181.02,8209.45,1133.4891059999998
2019-10-02 00:00:00,BTC/USDT,8211.46,8225.0,8151.22,8161.84,1798.2505590000005
2019-10-02 01:00:00,BTC/USDT,8165.34,8219.96,8162.0,8212.54,1235.7413939999997
2019-10-02 02:00:00,BTC/USDT,8212.54,8240.85,8202.03,8204.36,1263.633559
2019-10-02 03:00:00,BTC/USDT,8204.36,8276.97,8202.0,8237.94,1225.088511
2019-10-02 04:00:00,BTC/USDT,8237.59,8267.26,8220.46,8234.67,730.375055
2019-10-02 05:00:00,BTC/USDT,8235.0,8258.78,8211.05,8255.93,721.6001200000001
2019-10-02 06:00:00,BTC/USDT,8255.47,8289.0,8225.53,8269.04,912.9183029999999
2019-10-02 07:00:00,BTC/USDT,8268.67,8300.0,8208.0,8229.1,1510.638503
2019-10-02 08:00:00,BTC/USDT,8230.4,8261.04,8200.0,8216.8,1317.1841290000007
2019-10-02 09:00:00,BTC/USDT,8216.79,8250.0,8187.29,8236.44,1326.7758609999998
2019-10-02 10:00:00,BTC/USDT,8237.0,8250.0,8211.31,8239.98,948.6224010000001
2019-10-02 11:00:00,BTC/USDT,8239.98,8271.0,8208.02,8218.88,1326.4436390000003
2019-10-02 12:00:00,BTC/USDT,8218.88,8239.75,8182.15,8230.16,1330.320649
2019-10-02 13:00:00,BTC/USDT,8230.6,8264.0,8219.49,8233.13,886.8361999999998
2019-10-02 14:00:00,BTC/USDT,8233.23,8263.36,8221.46,8257.26,647.517707
2019-10-02 15:00:00,BTC/USDT,8257.05,8269.2,8213.08,8224.1,730.1476970000001
2019-10-02 16:00:00,BTC/USDT,8224.82,8258.0,8223.97,8256.48,419.4865080000001
2019-10-02 17:00:00,BTC/USDT,8256.41,8279.56,8231.42,8266.64,599.1285809999999
2019-10-02 18:00:00,BTC/USDT,8266.64,8373.91,8266.01,8359.94,2666.017893000001
2019-10-02 19:00:00,BTC/USDT,8360.0,8393.0,8314.01,8318.42,1727.651486
2019-10-02 20:00:00,BTC/USDT,8319.11,8344.8,8307.77,8319.68,638.6137280000002
2019-10-02 21:00:00,BTC/USDT,8319.68,8345.0,8317.79,8342.75,651.0766530000002
2019-10-02 22:00:00,BTC/USDT,8342.91,8344.8,8324.59,8327.52,402.74019400000014
2019-10-02 23:00:00,BTC/USDT,8327.65,8367.57,8327.65,8332.43,717.7723219999999
2019-10-03 00:00:00,BTC/USDT,8332.27,8345.36,8258.33,8281.36,1033.2649589999999
2019-10-03 01:00:00,BTC/USDT,8281.26,8300.39,8258.41,8260.82,915.937486
2019-10-03 02:00:00,BTC/USDT,8258.53,8276.08,8241.0,8261.43,1296.006483
2019-10-03 03:00:00,BTC/USDT,8261.43,8293.29,8237.28,8291.14,1138.319143
2019-10-03 04:00:00,BTC/USDT,8291.22,8299.24,8250.0,8267.96,806.6603449999999
2019-10-03 05:00:00,BTC/USDT,8267.45,8269.51,8185.38,8215.23,1826.219249
2019-10-03 06:00:00,BTC/USDT,8214.74,8235.21,8200.0,8217.02,1211.9863020000005
2019-10-03 07:00:00,BTC/USDT,8218.66,8247.4,8205.05,8227.25,771.3105289999999
2019-10-03 08:00:00,BTC/USDT,8227.27,8242.0,8207.1,8219.48,854.7806420000001
2019-10-03 09:00:00,BTC/USDT,8220.66,8220.67,8060.0,8100.15,4568.449170000001
2019-10-03 10:00:00,BTC/USDT,8100.99,8139.79,8075.58,8108.14,1995.2636490000002
2019-10-03 11:00:00,BTC/USDT,8108.98,8210.0,8097.27,8177.91,2465.724074999999
2019-10-03 12:00:00,BTC/USDT,8176.67,8178.99,8113.54,8149.03,1464.067027
2019-10-03 13:00:00,BTC/USDT,8149.03,8149.05,8125.86,8129.72,625.42658
2019-10-03 14:00:00,BTC/USDT,8130.95,8157.93,8088.0,8146.04,1025.279645
2019-10-03 15:00:00,BTC/USDT,8145.01,8169.83,8119.63,8140.25,749.2321639999997
2019-10-03 16:00:00,BTC/USDT,8140.16,8197.62,8115.0,8165.1,681.5494050000002
2019-10-03 17:00:00,BTC/USDT,8164.68,8200.0,8138.0,8198.54,785.6213040000004
2019-10-03 18:00:00,BTC/USDT,8197.7,8280.0,8195.24,8223.96,2135.3315179999995
2019-10-03 19:00:00,BTC/USDT,8224.43,8232.41,8080.03,8109.06,2639.6620530000005
2019-10-03 20:00:00,BTC/USDT,8108.99,8130.0,8050.0,8116.85,1829.9998579999988
2019-10-03 21:00:00,BTC/USDT,8117.0,8137.2,8092.3,8092.38,852.7251040000001
2019-10-03 22:00:00,BTC/USDT,8092.39,8119.96,8072.84,8104.53,693.8784329999999
2019-10-03 23:00:00,BTC/USDT,8104.81,8107.62,8057.25,8063.87,978.290054
2019-10-04 00:00:00,BTC/USDT,8065.18,8120.97,8005.0,8093.4,2229.3825140000004
2019-10-04 01:00:00,BTC/USDT,8093.44,8130.25,8089.15,8110.73,796.6471649999999
2019-10-04 02:00:00,BTC/USDT,8110.73,8148.0,8094.74,8138.69,1036.2331570000001
2019-10-04 03:00:00,BTC/USDT,8136.98,8138.48,8084.18,8093.96,1042.4571190000001
2019-10-04 04:00:00,BTC/USDT,8093.88,8125.99,8093.05,8125.0,1028.0793849999998
2019-10-04 05:00:00,BTC/USDT,8125.0,8176.64,8120.0,8128.38,1338.5363259999992
2019-10-04 06:00:00,BTC/USDT,8129.1,8178.96,8120.04,8151.4,982.4002859999998
2019-10-04 07:00:00,BTC/USDT,8150.59,8171.92,8122.0,8125.97,856.9061030000001
2019-10-04 08:00:00,BTC/USDT,8125.97,8181.37,8124.27,8168.67,1022.1035939999998
2019-10-04 09:00:00,BTC/USDT,8168.58,8186.36,8139.83,8162.44,1104.8280749999997
2019-10-04 10:00:00,BTC/USDT,8162.81,8172.0,8123.0,8148.0,911.3852110000001
2019-10-04 11:00:00,BTC/USDT,8147.13,8207.77,8125.0,8182.27,1781.0674640000007
2019-10-04 12:00:00,BTC/USDT,8180.83,8182.27,8129.97,8164.58,1191.2046169999996
2019-10-04 13:00:00,BTC/USDT,8163.29,8200.0,8152.06,8183.78,725.4424399999999
2019-10-04 14:00:00,BTC/USDT,8184.84,8199.99,8170.0,8183.5,670.4983690000001
2019-10-04 15:00:00,BTC/USDT,8183.9,8217.47,8141.02,8148.36,1009.716945
2019-10-04 16:00:00,BTC/USDT,8147.78,8176.48,8130.02,8171.57,665.4664570000002
2019-10-04 17:00:00,BTC/USDT,8170.26,8203.11,8141.0,8169.02,643.7254569999999
2019-10-04 18:00:00,BTC/USDT,8168.47,8169.02,8132.0,8137.13,445.6942180000001
2019-10-04 19:00:00,BTC/USDT,8137.09,8149.99,8100.0,8129.31,1523.8298739999998
2019-10-04 20:00:00,BTC/USDT,8129.86,8133.0,8103.11,8109.15,627.509355
2019-10-04 21:00:00,BTC/USDT,8108.37,8132.41,8093.99,8129.24,603.2381340000001
2019-10-04 22:00:00,BTC/USDT,8129.93,8146.99,8120.94,8137.83,398.6698410000001
2019-10-04 23:00:00,BTC/USDT,8137.81,8145.0,8109.0,8127.46,478.61759599999993
2019-10-05 00:00:00,BTC/USDT,8127.56,8129.68,8108.0,8117.0,481.06746
2019-10-05 01:00:00,BTC/USDT,8117.0,8140.0,8103.0,8131.67,523.6969529999999
2019-10-05 02:00:00,BTC/USDT,8131.0,8131.77,8091.72,8108.0,729.9472239999998
2019-10-05 03:00:00,BTC/USDT,8108.69,8112.48,8070.15,8087.98,1115.0488159999995
2019-10-05 04:00:00,BTC/USDT,8088.36,8103.92,8076.24,8082.55,673.3435110000001
2019-10-05 05:00:00,BTC/USDT,8082.24,8103.99,8070.0,8084.29,899.540798
2019-10-05 06:00:00,BTC/USDT,8083.85,8101.97,8072.0,8081.75,594.9148810000003
2019-10-05 07:00:00,BTC/USDT,8081.2,8091.47,8050.05,8072.27,1595.8773840000003
2019-10-05 08:00:00,BTC/USDT,8069.9,8082.97,8012.98,8073.38,2277.7958840000006
2019-10-05 09:00:00,BTC/USDT,8073.38,8081.46,8027.14,8032.56,1106.3348499999997
2019-10-05 10:00:00,BTC/USDT,8032.56,8090.0,8022.54,8082.93,1086.9606910000002
2019-10-05 11:00:00,BTC/USDT,8079.05,8100.0,8041.07,8073.35,1162.8824430000004
2019-10-05 12:00:00,BTC/USDT,8074.77,8074.8,8031.0,8038.1,564.7225949999998
2019-10-05 13:00:00,BTC/USDT,8039.02,8083.0,8037.1,8060.0,691.0259520000001
2019-10-05 14:00:00,BTC/USDT,8060.0,8092.99,8055.64,8066.36,526.142808
2019-10-05 15:00:00,BTC/USDT,8066.07,8115.54,8058.33,8083.7,707.6312839999997
2019-10-05 16:00:00,BTC/USDT,8083.34,8183.41,8081.02,8137.94,1744.2551890000002
2019-10-05 17:00:00,BTC/USDT,8137.91,8173.6,8115.61,8121.28,1164.8517559999998
2019-10-05 18:00:00,BTC/USDT,8121.3,8133.44,8102.0,8126.19,629.710285
2019-10-05 19:00:00,BTC/USDT,8127.55,8153.87,8118.83,8130.89,531.984714
2019-10-05 20:00:00,BTC/USDT,8130.45,8140.0,8040.72,8060.78,1163.870075
2019-10-05 21:00:00,BTC/USDT,8060.78,8068.31,8011.68,8052.25,1528.702918999999
2019-10-05 22:00:00,BTC/USDT,8052.24,8061.78,8031.11,8042.99,583.5279720000002
2019-10-05 23:00:00,BTC/USDT,8042.97,8077.6,8034.68,8073.96,553.7656659999999
2019-10-06 00:00:00,BTC/USDT,8073.96,8074.44,8034.42,8051.5,670.545333
2019-10-06 01:00:00,BTC/USDT,8051.5,8062.31,7910.0,7961.35,2869.718696000001
2019-10-06 02:00:00,BTC/USDT,7961.35,7977.76,7932.27,7963.17,1544.9221139999997
2019-10-06 03:00:00,BTC/USDT,7963.11,7965.0,7860.0,7872.78,2286.73905
2019-10-06 04:00:00,BTC/USDT,7873.41,7938.0,7871.66,7937.26,1375.9496700000002
2019-10-06 05:00:00,BTC/USDT,7937.26,7938.69,7895.03,7899.41,1083.69739
